,likes,replies,retweets,text,timestamp,user
63,3,0,1,"Are looking women for Date
CLICK THIS LINK BELOW
ONLY 18+ 
http://datelocalwoman.com/?u=m4dpae3&o=fmf0av7&m=1 …
#DatingInRealLife #date_a_live #DatingTips #DatingSiMonth #datemyfamilyZambia #sexpartner",2019-02-03 05:56:02,babuBDSM
64,6,0,0,Mama the same people that'd labelled #lusakahustle a shitty show when it first aired are here. Mama they're now ranting and raving about thighs There's only one reality show worthy of my time and that is #DatemyfamilyZambia the rest kwwf,2019-02-02 20:15:13,Lillymwaba
65,3,1,0,How about circlutaing? Next she will be asking for #DateMyFamilyZambia to be axed for promoting promiscuity #Thighgate #LusakaHustle @luchi7https://twitter.com/lusakatimes/status/1091678798041530368 …,2019-02-02 15:11:40,patpami
66,0,0,0,#datemyfamilyzambia,2019-02-02 11:26:39,mboziarnold
67,7,1,2,Dear @MTN_Zambia these agents that you’re giving licenses to operate ma Mobile Money booths are refusing our voucher transactions because of their profits. Pls RT #datemyfamilyzambia #Lusakahustle,2019-02-02 10:21:16,KatapaJoseph
68,30,1,2,"My dad just texted telling me Tabeni was on #DateMyFamilyZambia Please, I don’t know her pic.twitter.com/rgJ2KoWfFG",2019-02-01 16:39:12,lovejadenbiebsx
69,4,0,0,Elliot was cute until he opened his mouth #datemyfamilyZambia,2019-02-01 16:15:13,101_Sashi
70,5,0,1,#datemyfamilyZambia https://twitter.com/machiyadaniel/status/1091218626462523392 …,2019-02-01 15:52:21,Namutenga1
71,1,0,0,Maybe age is just a number...maybe not...#datemyfamilyZambia,2019-02-01 13:51:21,dave_th3god
72,9,0,2,"""I bought a cake for a girl on her birthday."" #DateMyFamilyZambia https://twitter.com/faizlynroslen/status/1091279556479086593 …",2019-02-01 10:46:43,Mr_Nakalonga
73,1,0,0,I'm looking for tabenis handle #DateMyFamilyZambia,2019-02-01 10:08:35,suwi___
74,2,0,0,"Mapalo and Doris are cute together 
#DateMyFamilyZambia",2019-02-01 05:57:16,Pearl_ChuChu
75,4,0,1,"Elliot's family is weird... 
They say their brother has dated 3 girls. Doris says she's 21 and has dated 2 guys and they are shocked, to them it's unbelievable...  I don't understand 
#datemyfamilyZambia",2019-02-01 05:52:10,namakau23
76,0,0,1,Wow! It' is what it is #DateMyFamilyZambia,2019-02-01 05:40:39,harrisonmbewe14
77,9,0,1,#datemyfamilyzambia pic.twitter.com/40xFRx2iDJ,2019-02-01 05:25:41,YamfwamangalaYm
78,4,0,1,We need/demand an exclusive 'Date my family-Kopala edition' lol..would make for some interesting tv.. #datemyfamilyZambia,2019-01-31 21:10:52,MwaiiMwamba
79,1,0,0,"People should stop attacking kambani I know the guy am marking you
#datemyfamilyZambia",2019-01-31 20:48:07,mwezekanyirenda
80,3,0,1,#datemyfamilyZambia needs to bring back Funti for another episode mwe.,2019-01-31 20:48:02,SonofRhoda
81,0,0,0,Not sure hey  I am sure we shall find out this week on #datemyfamilyZambia #dmfz ,2019-01-31 20:45:50,chabs_cc
82,1,0,0,"I think if I ever got a chance to speak to Elliot I'd be laughing at him cause I can barely hear what he's saying and I'm childish..
Then the L R syndrome aikona mos #DatemyfamilyZambia",2019-01-31 20:45:23,Pepper_Nonie
83,3,0,0,3rd Family #datemyfamilyZambia pic.twitter.com/8IEhzY5Rim,2019-01-31 20:36:33,edwardSakwimbah
84,2,0,1,Hello @zambezimagictv make a #datemyfamilyZambia season for rejects only...that would be fun..No? Yes? Second time's the charm...,2019-01-31 20:35:02,tamzhaL_Wiindi
85,1,0,0,Mapalo folding arms on a date is horrible body language #datemyfamilyZambia,2019-01-31 20:33:24,Iam_VanWick
86,2,0,0,"#datemyfamilyZambia honestly she chose well...the coloureds family where the most welcoming, normal...",2019-01-31 20:33:16,SulavyeOfficial
87,1,0,0,See not everyone thinks in your normal sense by 21 she must have dated a whole bundle of boyfriends  #datemyfamilyZambia,2019-01-31 20:32:54,Kabwe_GS
88,3,1,0,Watching #datemyfamilyZambia with my dad soo awkward,2019-01-31 20:31:18,Mwindy31
89,7,0,1,"I can’t imagine someone meeting my family and then we never see each other again you just came for lunch and dipped wow
#DateMyFamilyZambia",2019-01-31 20:31:14,Ryvn_6
90,4,0,3,Funti remains the  #DateMyFamilyZambia,2019-01-31 20:30:56,Del_Hunt
91,6,0,0,"Elo we need to talk about this ka restaurant, they need to relocate..spice things up ai bane #datemyfamilyZambia",2019-01-31 20:29:27,richardsione31
92,1,0,1,"Lmao “she’s boring”  

I agree man.

#DateMyFamilyZambia",2019-01-31 20:29:18,MsRettaLi
93,2,0,1,"Wait, she agreed on a second date after calling him a mama's boy? Okay #datemyfamilyZambia",2019-01-31 20:29:05,21mgn03
94,2,0,1,Eh that was a quick date #DateMyFamilyZambia,2019-01-31 20:28:56,_Kapika_
95,4,1,1,Mans just said she is abit boring  #DateMyFamilyZambia,2019-01-31 20:28:53,mzz_martha
96,5,1,1,"Did  Mapalo say she's a bit Boring?
#datemyfamilyZambia",2019-01-31 20:28:53,Thee_Lioness97
97,4,0,0,"""interesting"" ""interesting"" ""interesting"" ""interesting"" ""fun"" ""swimming"" ""lunch"" ""interesting"" ""interesting"". - Doris 2019 
#datemyfamilyZambia",2019-01-31 20:28:51,ValentinaGasUp
98,3,0,0,#datemyfamilyZambia  yenze cliche iyi lol,2019-01-31 20:28:50,Juan_Blima
99,7,0,1,Doris is a keeper. Down to earth. #datemyfamilyZambia,2019-01-31 20:28:49,Sheneazar
100,2,1,0,"Mapalo looks like Virgl Van Dijk.
#datemyfamilyZambia",2019-01-31 20:28:44,Kamwi_Mwangelwa
101,2,0,0,Looks likeTapas Caliente are the official sponsors #datemyfamilyZambia,2019-01-31 20:28:43,Amymuka2
102,1,0,0,He's Japanese??????????????????? not Vietnamese who likes Thai chillies #datemyfamilyZambia,2019-01-31 20:28:37,mulla_justicia
103,0,0,0, she’s boring #DateMyFamilyZambia,2019-01-31 20:28:34,TiyaSavage
104,2,0,0,"Someone tell this girl that knives fly
#datemyfamilyZambia",2019-01-31 20:28:34,ZilindeMonjeza
105,0,0,0,Shes a bit boring?#datemyfamilyZambia,2019-01-31 20:28:28,Cho7Mwenya
106,1,0,0,Y'all holding hands already?  How long has it been?  #datemyfamilyZambia,2019-01-31 20:28:28,Lillymwaba
107,0,0,0,"Is that Kekero driving and delivering bad news? 
#DatemyfamilyZambia",2019-01-31 20:28:25,goldwynz
108,0,0,0,"By the end of the day, age is nothing but a number      #datemyfamilyZambia",2019-01-31 20:28:20,kosamu93
109,2,0,1,"No doris, his not nice , his hot!
#datemyfamilyZambia",2019-01-31 20:28:17,kaffylit
110,9,2,0,Apa  Doris should just get close to the family to date the brother  #datemyfamilyZambia,2019-01-31 20:28:05,banda_santika
111,1,0,0,They are so cute though. Cause they are both boring they work #DateMyFamilyZambia,2019-01-31 20:27:48,yep_im_Angel
112,2,0,0,"This week's episode though
#DatemyfamilyZambia",2019-01-31 20:27:44,mandagetrude
113,14,0,1,"""I just loved looking at her, she didn't even need to talk"" 
Guys! 

Love iliko

#datemyfamilyZambia",2019-01-31 20:27:33,2pulZ
114,4,1,1,"Wait no menu at the ""fancy restaurant"" kulandafye #datemyfamilyZambia",2019-01-31 20:27:15,LiLO_ZM16
115,6,1,0,That remote na Rubber band #datemyfamilyZambia pic.twitter.com/MK1vXqi47C,2019-01-31 20:27:14,edwardSakwimbah
116,2,0,0,She chose Mapalo the Vietnamese coz she's not race #datemyfamilyZambia,2019-01-31 20:26:56,mulla_justicia
117,1,0,0,"DMFZ can be boring like a political church reconcilliation service..Please we wasting our Dstv subscription
#datemyfamilyZambia",2019-01-19 06:25:39,mutanga_bernard
118,3,1,0,"So date 1 was entire about the girl's ex? Eish! Insecurities you haven't even met the person yet 
#datemyfamilyZambia",2019-01-19 06:22:30,inonge_kat
119,3,0,0,"There should be an age limit for this show. These 20 year olds are supposed to be studying not wanting marriage 
#DateMyFamilyZambia",2019-01-18 19:59:45,Mwila34
120,2,0,0,"Zoey's brother,the guy with the glasses. Has the 'Hey baby,it's Marcus.' voice. #DatemyfamilyZambia",2019-01-18 18:57:08,Tuttie_S
121,0,0,0,Okay but this season of #DateMyFamilyZambia has had one too many characters ffs ,2019-01-18 12:51:01,BwalyaTrae
122,0,0,0,"It was sad to see a fine grown woman babysitting ba kembo on #DatemyfamilyZambia, but I hope the next episodes will be more mature.",2019-01-18 10:13:58,dave_th3god
123,1,1,0,"@eric19feb fam lol, you even prayed for the food #DatemyfamilyZambia. Suburban dude lmao",2019-01-18 09:29:16,zedshinobi
124,0,0,0,K-Star  #DateMyFamilyZambia,2019-01-18 06:32:26,nachebo
125,0,0,0,"Ngosa ""You didn't pick me,I hope you choke on your date! I hope it rains..floods actually.."" Hahahaha..#datemyfamilyzambia",2019-01-18 06:06:59,MwaiiMwamba
126,0,0,0,A character like Eric #datemyfamilyzambia is epic. And that's before being a father,2019-01-17 23:12:48,Musmo04
127,0,0,0,"Comfort wore fake bums so she can feel comforted after being rejected 
#DatemyfamilyZambia",2019-01-17 21:45:45,Chikwa18
128,0,0,0,Okay so I am getting the vibe that Mwaba and her dude broke up because her dude wanted to get physical and she didn't. The shy we weren't on the same page was telling  #DateMyFamilyZambia,2019-01-17 21:32:20,JohnTembo1982
129,0,0,0,Okay Mwaba's outfit minus that coat was dope but why the coat ifya busako busako please awe. #DatemyfamilyZambia,2019-01-17 21:29:27,JohnTembo1982
130,0,0,1,Ngosa ati I hope you choke on your food. Yo!  #DatemyfamilyZambia,2019-01-17 21:25:17,JohnTembo1982
131,0,0,0,Yo Zoey was dressed up like she was going to the set of a music video shoot #DatemyfamilyZambia,2019-01-17 21:24:09,JohnTembo1982
132,0,0,0,3rd family the dudes reaction when homie said he had never cheated  #DatemyfamilyZambia,2019-01-17 21:16:49,JohnTembo1982
133,0,0,0,Everytime he says he last relationship was 5 years ago nobody believes him to start and then they think he is weird!  #DateMyFamilyZambia,2019-01-17 21:15:34,JohnTembo1982
134,0,0,0,One of the most boring episode of #DatemyfamilyZambia ,2019-01-17 21:15:07,SianaBrad
135,0,0,0,K-star said sad sausage  #DatemyfamilyZambia,2019-01-17 21:11:16,Scarlett_Ivyy
136,0,2,0,Who is the voice behind #datemyfamilyZambia ?,2019-01-17 21:09:36,RacheaRm
137,2,0,0,"Do they pay you a certain kwacha amount for you to feature on #DatemyfamilyZambia 

Honestly these things are not for everyone pic.twitter.com/054j1kKHQV",2019-01-17 21:08:00,RMbachi
138,0,0,0,Those enamel plates family 2 served kwati ni mu federal! #DatemyfamilyZambia,2019-01-17 21:05:56,JohnTembo1982
139,2,2,0,Ngosa ati Eric's dress code is horrible she even fyolad guys!  #DateMyFamilyZambia,2019-01-17 21:02:05,JohnTembo1982
140,2,0,0,Ngosa's weave ain't working with her  as she tries to flick her hair  . #DateMyFamilyZambia,2019-01-17 20:59:38,JohnTembo1982
141,0,0,0,#datemyfamilyZambia I would like to see Zoey’s #10yearscallenge  just to see her complexion,2019-01-17 20:57:00,RacheaRm
142,0,0,0,Low key not watching #datemyfamilyZambia but recording season ,2019-01-17 20:55:53,ManChiilu
143,1,0,0,"In Family 3 was the girl wearing fake hips? Cause she looked really straight pa intro 
#DatemyfamilyZambia",2019-01-17 20:55:32,Chikwa18
144,0,0,0,"Proud of my fam even if he didn't pick us, his loss. Zoey, Ellen, Oscar & Chawana #mbroz #datemyfamilyzambia",2019-01-17 20:54:44,JoDa_MBroz
145,0,0,0,Mwaba's fam doesn't believe Eric has been single for 5 years  .Like seriously as a dude even if it is true you don't say you have been single for 5 years ain't nobody gonna believe you to begin with and if they do believe you they will think you are weird #DateMyFamilyZambia,2019-01-17 20:53:35,JohnTembo1982
146,0,0,0,Okay Eric looks like he does bath he has a cool outfit for date 1 but he needs to see the dentist guys get some braces homie like for real for real. #DatemyfamilyZambia,2019-01-17 20:48:47,JohnTembo1982
147,0,0,0,What criteria do they even using in choosing these same potential dates coz hmm twachilamo ukumona ama hule mweh #datemyfamilyzambia,2019-01-17 20:48:44,jon_athanz
148,0,0,0,Sad looking sausages  K-star is lit #DatemyfamilyZambia,2019-01-17 20:44:47,priceless11Six
149,2,1,0,He looks hungry let's give him some food me dead#DatemyfamilyZambia,2019-01-17 20:44:39,joshie_lamar
150,0,1,0,"I can’t see ,what you people saw in those beardless men .#DatemyfamilyZambia",2019-01-17 20:44:09,hongobae
151,1,0,0,"Catching up on today's episodes of:
#Zuba
#Mpali & #DatemyfamilyZambia
",2019-01-17 20:43:04,AdventurousKay
152,0,0,0,Guys you busy surprising us kanshi mwaliya ku  #DatemyfamilyZambia  This is fun  waiting to see more tweeps,2019-01-17 20:42:56,Alstroemeria__1
153,5,1,1,Why am I trending??  @chucky_Beau #DatemyfamilyZambia,2019-01-17 20:42:08,oscar_on_fire
154,11,1,2,"#DatemyfamilyZambia so mwaba was picked for being ""thick"" and ""curvy"" the struggle is real for dayondas",2019-01-17 20:41:55,kuxthedon
155,3,0,1,If you don't know what mungulu means how can you say you are not that Eric?!  #DatemyfamilyZambia,2019-01-17 20:41:17,JohnTembo1982
156,3,0,0,"When he asked if she was single 
#DatemyfamilyZambia pic.twitter.com/LgFRdProLV",2019-01-17 20:40:36,theZedRavenclaw
157,1,0,1,"Thank you. This is why i identified her allegedly light skinned
#DatemyfamilyZambia https://twitter.com/alinani2011/status/1085995280535875584 …",2019-01-17 20:40:35,BessyAdnab
158,0,0,0,"Whoever does the matching has to be talked to mweh 
#DatemyfamilyZambia",2019-01-17 20:40:23,Chikwa18
159,1,0,0,Zoey na bokosi yaboza  #LilBootiesMatter #DatemyfamilyZambia,2019-01-17 20:39:43,sixty7zero1
160,0,0,0,I can't believe i missed #DatemyfamilyZambia  this makes me so mad,2019-01-17 20:39:22,Scarlett_Ivyy
161,0,0,0,No one took photos/videos today? #DatemyfamilyZambia,2019-01-17 20:38:48,Happy_human21
162,2,0,0,"In chalala rockfield they serve wine in a beer glass 
#DatemyfamilyZambia",2019-01-17 20:36:50,Chikwa18
163,5,0,0,"If you are gonna wear artificial hips, atleast wear them strategically. Utuntu
#DatemyfamilyZambia.",2019-01-17 20:35:42,CarenChense
164,2,0,0,"Ngosa would be ideal for a step mother role mwe. She should sign up for something on #Zuba  and/or #mpali
#DatemyfamilyZambia
#DMFZambia",2019-01-17 20:35:19,BessyAdnab
165,5,1,0,"I had to see the fake bums, thanx to zed twitter #DatemyfamilyZambia",2019-01-17 20:33:29,Mizz_Timba
166,2,0,0,"Why are you single?.....

Lol reminded me of “why are you gay?..you are gay”
#DateMyFamilyZambia",2019-01-17 20:32:37,Iam_mambo
167,15,3,2,"That was a boring date  #datemyfamilyZambia . Maybe I should go on date my family , wat do u think @luvalequeen @KundaKakoma @tintin_themodel @KasaziLungu @khLAma @stchika80 ?Should I host or be hosted ?pic.twitter.com/Jc4Jncr4ng",2019-01-17 20:31:50,dutchTk
168,1,0,0,"Really don't know why my son insists on saying ""tipase iwe"" instead of the ""give us iwe"" #DatemyfamilyZambia",2019-01-17 20:31:17,GraceMwaba02
169,0,0,0,"I even missed the date because Zoey nampwisha..
#DatemyfamilyZambia",2019-01-17 20:30:39,MissMaggiChi
170,0,0,0,Guys can we have one of our favs to go for #DatemyfamilyZambia we want something exciting now mweh.  we are tayad,2019-01-17 20:30:39,Maa_rla
171,5,2,0,#datemyfamilyZambia pic.twitter.com/y6rgGBXg9V,2019-01-17 20:30:38,naomi_mugi07
172,1,0,0,"Eric: Am stastician

Zoey's brother : What's that 

Eric:internal auditing stuff

Njebele gaaaad #DateMyFamilyZambia",2019-01-17 20:30:33,cholaonfire
173,1,0,0,"""We'll be fighting for  air"" #DatemyfamilyZambia",2019-01-17 20:30:26,PelwaMulenga
174,3,0,0,I want my one hour back. #DatemyfamilyZambia,2019-01-17 20:29:34,Miss_Muya
175,1,0,0,"Zoey's first name is ""Comfort"" #DateMyFamilyZambia",2019-01-17 20:29:27,_Kapika_
176,1,0,0,Even you guys it's has froze kaya  English LMAO #DatemyfamilyZambia,2019-01-17 20:29:27,Alstroemeria__1
177,0,0,0,"Hmmm ,  .  Those eyebrows #datemyfamilyZambia",2019-02-10 17:11:00,chiko_lu
178,1,0,0,#datemyfamilyZambia is brilliant. The most authentically Zambian show on TV. A true caricature of Zambian culture with all its prejudices and flaws. It's an accidental masterpiece.,2019-02-10 15:46:34,mr_siame
179,1,2,0,@chabs_cc I found you! I have so many questions to ask abt your #datemyfamilyzambia experience cc: @malamachief I found him! :p,2019-02-09 15:30:05,MwansaChola92
180,1,0,0,We said grace before we cooked  #datemyfamilyZambia,2019-02-09 12:53:05,officialroyd
181,0,0,0,Am i the only one who didn't tweet about  #datemyfamilyzambia smh,2019-02-09 06:18:09,amthejaycee
182,15,0,3,This scene has killed me  #Datemyfamilyzambia pic.twitter.com/gQPvXqQ3Ss,2019-02-08 20:28:53,DAMNDANI3L
183,3,0,0,"#DatemyfamilyZambia The only reason why he chose Tina was the ""travelled one"". 
They are an odd couple but I think it works. She can liven him up and in turn he can tone her down....
I think it's actually a good pick ",2019-02-08 18:04:20,MwansaChola92
184,2,1,0,"#datemyfamilyZambia ""Does she turn heads in the street?""

Damn!  I haven't laughed this much in a while. The TL does good work but this show no!! @malamachief all of this in one day?",2019-02-08 17:57:14,MwansaChola92
185,2,0,0,"#DatemyfamilyZambia The friend wants some of that vegetarian, non drinking engineering man! She wants him to pick Tina so she can see him again!",2019-02-08 17:48:28,MwansaChola92
186,3,2,0,How is this girl so addicted to alcohol?? #datemyfamilyZambia,2019-02-08 17:40:35,MwansaChola92
187,1,0,0,"#DateMyFamilyZambia 
Guy coming out like  
""I don't believe in a negative side just overexercised strengths.""

And these ppl are weird why do you have to have a child at 27??

(yes I watch almost everything a day or two later)",2019-02-08 17:38:36,MwansaChola92
188,1,0,0,That height requirement was very specific #datemyfamilyZambia,2019-02-08 16:36:45,sour_bones
189,0,0,0,#datemyfamilyzambia pic.twitter.com/MaiopyiTiR,2019-02-08 16:04:46,Sage48962439
190,3,0,0,#DateMyFamilyZambia who does the selection??? Maybe the drive is aunthenticity. I continue to attempt to understand,2019-02-08 15:41:32,theeevisionary
191,2,0,0,"I came late to the party, but Chabula is my kinda guy. He is an aerospace engineer I mean, my dream career - #datemyfamilyzambia",2019-02-08 15:40:50,ASTEMinistGirl
192,0,0,0,"Last nights #datemyfamilyzambia
Wow guys!",2019-02-08 15:39:39,mteentah
193,7,0,0,"Friend:She's a righteous person
Chabula:meaning?
Friend: she likes right thing #datemyfamilyZambia pic.twitter.com/WVvPH9JJRY",2019-02-08 13:25:41,ChizandaN
